InvoiceNo,InvoiceDate,CustomerID,Country,StockCode,Description,Quantity,UnitPrice
INV-0180-001,2025-05-05,C0180,United Kingdom,SKU-667,Phone Case,4,5.21
INV-0181-001,2025-08-25,C0181,India,SKU-751,Desk Organizer,4,18.44
INV-0181-002,2025-11-24,C0181,India,SKU-265,Backpack,2,40.34
INV-0181-003,2025-07-30,C0181,United Kingdom,SKU-361,Wireless Mouse,4,25.83
INV-0181-004,2025-09-19,C0181,United Kingdom,SKU-763,LED Bulb,3,29.35
INV-0181-005,2025-10-22,C0181,United Kingdom,SKU-746,Wireless Mouse,3,27.34
INV-0181-006,2025-09-27,C0181,India,SKU-823,Wireless Mouse,3,22.62
INV-0181-007,2025-06-30,C0181,India,SKU-374,Water Bottle,5,19.9
INV-0181-008,2025-09-15,C0181,Germany,SKU-555,LED Bulb,5,18.85
INV-0181-009,2025-10-20,C0181,India,SKU-113,Phone Case,1,41.87
INV-0181-010,2025-10-29,C0181,India,SKU-286,Notebook Pack,1,31.23
INV-0182-001,2025-08-09,C0182,USA,SKU-822,Cotton T-Shirt,3,36.53
INV-0182-002,2025-05-30,C0182,USA,SKU-452,Cotton T-Shirt,3,38.34
INV-0182-003,2025-06-04,C0182,India,SKU-368,LED Bulb,5,15.72
INV-0182-004,2025-11-17,C0182,United Kingdom,SKU-640,LED Bulb,3,64.36
INV-0182-005,2025-04-20,C0182,India,SKU-913,Phone Case,5,14.77
INV-0182-006,2025-02-19,C0182,India,SKU-217,Cotton T-Shirt,4,46.93
INV-0182-007,2025-05-31,C0182,India,SKU-466,Cotton T-Shirt,4,44.57
INV-0182-008,2025-06-09,C0182,India,SKU-661,Yoga Mat,1,69.36
INV-0182-009,2025-07-22,C0182,India,SKU-138,Yoga Mat,2,93.48
INV-0182-010,2025-09-18,C0182,India,SKU-397,LED Bulb,2,35.74
INV-0182-011,2025-04-16,C0182,India,SKU-210,Desk Organizer,4,38.06
INV-0183-001,2025-08-12,C0183,USA,SKU-981,Yoga Mat,3,7.94
INV-0183-002,2025-01-21,C0183,India,SKU-446,Wireless Mouse,2,11.45
INV-0183-003,2025-06-19,C0183,United Kingdom,SKU-319,Cotton T-Shirt,1,27.3
INV-0183-004,2025-06-12,C0183,United Kingdom,SKU-668,Coffee Beans 500g,2,12.76
INV-0183-005,2025-07-13,C0183,India,SKU-202,Desk Organizer,5,3.84
INV-0183-006,2025-10-14,C0183,India,SKU-388,LED Bulb,4,3.13
INV-0184-001,2024-08-04,C0184,United Kingdom,SKU-898,Wireless Mouse,4,58.45
INV-0184-002,2024-09-09,C0184,India,SKU-851,Yoga Mat,2,124.74
INV-0184-003,2024-09-24,C0184,USA,SKU-990,LED Bulb,1,244.27
INV-0184-004,2024-11-07,C0184,USA,SKU-865,Cotton T-Shirt,1,250.89
INV-0184-005,2024-12-09,C0184,India,SKU-851,Phone Case,4,51.59
INV-0184-006,2024-10-08,C0184,United Kingdom,SKU-165,Wireless Mouse,3,75.94
INV-0184-007,2024-12-31,C0184,India,SKU-857,LED Bulb,2,122.8
INV-0184-008,2024-07-19,C0184,Germany,SKU-490,Phone Case,4,42.17
INV-0185-001,2025-08-28,C0185,United Kingdom,SKU-631,Backpack,3,22.79
INV-0185-002,2025-05-28,C0185,India,SKU-744,Desk Organizer,2,24.96
INV-0186-001,2024-09-18,C0186,USA,SKU-262,Backpack,3,78.76
INV-0186-002,2024-12-18,C0186,India,SKU-937,Water Bottle,1,217.79
INV-0186-003,2025-03-04,C0186,India,SKU-311,Cotton T-Shirt,3,59.83
INV-0186-004,2024-11-27,C0186,United Kingdom,SKU-486,Wireless Mouse,3,28.51
INV-0186-005,2024-09-26,C0186,India,SKU-655,Cotton T-Shirt,1,109.21
INV-0186-006,2025-01-24,C0186,India,SKU-620,Notebook Pack,4,33.74
INV-0186-007,2024-11-12,C0186,USA,SKU-603,Yoga Mat,4,25.09
INV-0187-001,2025-05-08,C0187,United Kingdom,SKU-702,LED Bulb,5,49.31
INV-0187-002,2025-01-24,C0187,USA,SKU-322,LED Bulb,2,224.22
INV-0187-003,2025-03-11,C0187,United Kingdom,SKU-673,Coffee Beans 500g,5,41.81
INV-0187-004,2025-06-09,C0187,USA,SKU-331,Cotton T-Shirt,5,67.97
INV-0187-005,2025-07-21,C0187,India,SKU-111,Wireless Mouse,2,207.46
INV-0187-006,2025-06-14,C0187,United Kingdom,SKU-179,Water Bottle,4,41.95
INV-0187-007,2025-07-21,C0187,India,SKU-412,Cotton T-Shirt,3,105.2
INV-0187-008,2025-06-27,C0187,India,SKU-501,Water Bottle,1,429.19
INV-0187-009,2025-09-22,C0187,India,SKU-321,Water Bottle,2,235.31
INV-0187-010,2025-08-24,C0187,Germany,SKU-773,Coffee Beans 500g,5,56.86
INV-0187-011,2025-08-28,C0187,India,SKU-934,Wireless Mouse,1,493.75
INV-0187-012,2025-10-03,C0187,USA,SKU-126,Wireless Mouse,2,250.65
INV-0187-013,2025-02-27,C0187,USA,SKU-476,Cotton T-Shirt,2,164.58
INV-0187-014,2025-04-08,C0187,India,SKU-990,Desk Organizer,1,403.81
INV-0187-015,2025-04-03,C0187,India,SKU-244,Yoga Mat,4,94.64
INV-0187-016,2025-07-08,C0187,United Kingdom,SKU-263,Phone Case,3,145.93
INV-0187-017,2025-09-18,C0187,India,SKU-543,Phone Case,3,95.67
INV-0187-018,2025-03-07,C0187,United Kingdom,SKU-145,LED Bulb,5,69.73
INV-0187-019,2025-08-31,C0187,India,SKU-462,Wireless Mouse,3,93.42
INV-0187-020,2025-03-09,C0187,United Kingdom,SKU-337,Phone Case,5,46.24
INV-0187-021,2025-11-14,C0187,Germany,SKU-395,Notebook Pack,1,139.57
INV-0188-001,2025-04-30,C0188,India,SKU-630,Phone Case,4,25.73
INV-0188-002,2025-05-09,C0188,India,SKU-165,Phone Case,4,10.55
INV-0188-003,2025-08-26,C0188,India,SKU-817,Coffee Beans 500g,4,27.75
INV-0188-004,2025-03-17,C0188,India,SKU-380,Notebook Pack,4,9.45
INV-0188-005,2025-11-21,C0188,India,SKU-635,Water Bottle,1,68.4
INV-0188-006,2025-07-29,C0188,United Kingdom,SKU-409,Backpack,1,86.66
INV-0188-007,2025-07-31,C0188,India,SKU-110,Wireless Mouse,3,32.08
INV-0188-008,2025-07-19,C0188,India,SKU-592,Cotton T-Shirt,3,28.29
INV-0188-009,2025-08-04,C0188,India,SKU-792,Yoga Mat,1,72.76
INV-0188-010,2025-04-23,C0188,Germany,SKU-715,Wireless Mouse,4,26.81
INV-0188-011,2025-04-24,C0188,USA,SKU-805,Cotton T-Shirt,2,24.26
INV-0188-012,2025-02-09,C0188,India,SKU-420,Wireless Mouse,3,10.87
INV-0189-001,2025-07-16,C0189,India,SKU-205,Cotton T-Shirt,5,24.11
INV-0189-002,2025-05-15,C0189,India,SKU-210,Coffee Beans 500g,1,110.36
INV-0190-001,2025-06-29,C0190,Germany,SKU-491,LED Bulb,3,57.45
INV-0190-002,2025-05-14,C0190,United Kingdom,SKU-879,Phone Case,2,191.62
INV-0190-003,2025-12-14,C0190,USA,SKU-150,Wireless Mouse,4,57.44
INV-0190-004,2025-04-07,C0190,USA,SKU-534,Yoga Mat,2,141.69
INV-0190-005,2025-11-07,C0190,Germany,SKU-393,Cotton T-Shirt,5,38.98
INV-0190-006,2025-02-19,C0190,India,SKU-892,Wireless Mouse,1,262.57
INV-0190-007,2025-03-10,C0190,Germany,SKU-734,Backpack,4,60.78
INV-0190-008,2025-12-16,C0190,India,SKU-557,Backpack,5,55.75
INV-0190-009,2025-04-13,C0190,United Kingdom,SKU-475,LED Bulb,2,116.83
INV-0190-010,2025-02-22,C0190,India,SKU-435,Wireless Mouse,1,172.22
INV-0190-011,2025-05-13,C0190,USA,SKU-791,Coffee Beans 500g,2,210.3
INV-0190-012,2025-06-11,C0190,United Kingdom,SKU-147,Desk Organizer,1,437.02
INV-0190-013,2025-11-19,C0190,India,SKU-554,LED Bulb,5,84.48
INV-0190-014,2025-08-14,C0190,India,SKU-869,LED Bulb,4,98.18
INV-0190-015,2025-10-04,C0190,United Kingdom,SKU-811,Coffee Beans 500g,2,120.5
INV-0190-016,2025-08-25,C0190,USA,SKU-483,Yoga Mat,4,68.15
INV-0190-017,2025-10-19,C0190,USA,SKU-920,Notebook Pack,3,111.66
INV-0190-018,2025-12-19,C0190,India,SKU-168,Phone Case,4,103.12
INV-0190-019,2025-10-04,C0190,USA,SKU-958,Cotton T-Shirt,1,235.83
INV-0191-001,2025-05-11,C0191,United Kingdom,SKU-596,Desk Organizer,1,405.05
INV-0191-002,2025-06-23,C0191,India,SKU-586,Water Bottle,5,96.08
INV-0191-003,2025-04-25,C0191,Germany,SKU-398,Cotton T-Shirt,3,191.03
INV-0191-004,2025-08-05,C0191,India,SKU-265,Phone Case,2,217.35
INV-0191-005,2025-05-27,C0191,India,SKU-655,Cotton T-Shirt,5,75.7
INV-0191-006,2025-11-29,C0191,Germany,SKU-781,Wireless Mouse,4,139.16
INV-0191-007,2025-08-22,C0191,Germany,SKU-532,Coffee Beans 500g,1,583.2
INV-0191-008,2025-08-25,C0191,India,SKU-547,Yoga Mat,1,406.55
INV-0191-009,2025-03-13,C0191,India,SKU-404,Cotton T-Shirt,2,250.98
INV-0191-010,2025-06-21,C0191,United Kingdom,SKU-314,Wireless Mouse,2,77.77
INV-0191-011,2025-08-22,C0191,India,SKU-794,Desk Organizer,1,496.33
INV-0191-012,2025-11-12,C0191,Germany,SKU-222,Notebook Pack,2,287.55
INV-0191-013,2025-09-02,C0191,Germany,SKU-396,Water Bottle,4,125.05
INV-0192-001,2025-05-31,C0192,India,SKU-912,Coffee Beans 500g,3,72.0
INV-0192-002,2024-12-05,C0192,India,SKU-910,Desk Organizer,1,105.21
INV-0192-003,2025-05-27,C0192,USA,SKU-198,Coffee Beans 500g,4,59.54
INV-0192-004,2024-11-19,C0192,India,SKU-248,Phone Case,4,24.36
INV-0192-005,2025-05-02,C0192,India,SKU-247,Cotton T-Shirt,5,21.46
INV-0192-006,2025-03-27,C0192,India,SKU-838,Phone Case,3,55.87
INV-0192-007,2025-01-22,C0192,USA,SKU-197,Backpack,3,81.29
INV-0192-008,2025-01-08,C0192,Germany,SKU-887,Desk Organizer,1,170.01
INV-0192-009,2025-06-17,C0192,USA,SKU-263,Water Bottle,2,97.21
INV-0193-001,2025-02-13,C0193,India,SKU-158,Phone Case,1,208.0
INV-0193-002,2025-06-13,C0193,United Kingdom,SKU-518,Desk Organizer,4,55.01
INV-0193-003,2025-07-01,C0193,India,SKU-243,LED Bulb,4,51.83
INV-0193-004,2025-10-19,C0193,India,SKU-871,Backpack,4,55.5
INV-0193-005,2025-03-25,C0193,Germany,SKU-677,Wireless Mouse,4,29.4
INV-0193-006,2025-10-19,C0193,United Kingdom,SKU-472,Water Bottle,5,30.4
INV-0193-007,2025-08-24,C0193,India,SKU-292,Yoga Mat,5,43.35
INV-0193-008,2025-07-14,C0193,India,SKU-302,Water Bottle,4,29.97
INV-0193-009,2025-01-25,C0193,USA,SKU-847,Phone Case,3,32.71
INV-0193-010,2025-03-11,C0193,USA,SKU-620,Phone Case,5,17.57
INV-0193-011,2025-09-26,C0193,United Kingdom,SKU-371,Notebook Pack,2,61.94
INV-0193-012,2025-04-23,C0193,United Kingdom,SKU-112,Notebook Pack,4,36.92
INV-0193-013,2025-04-17,C0193,India,SKU-513,Cotton T-Shirt,2,88.82
INV-0194-001,2025-07-21,C0194,India,SKU-193,Wireless Mouse,5,6.26
INV-0194-002,2025-08-28,C0194,United Kingdom,SKU-944,Water Bottle,3,24.43
INV-0195-001,2025-03-10,C0195,India,SKU-348,Cotton T-Shirt,2,69.22
INV-0195-002,2024-12-18,C0195,USA,SKU-827,Yoga Mat,2,66.4
INV-0195-003,2025-05-27,C0195,India,SKU-862,Wireless Mouse,1,200.67
INV-0195-004,2025-09-13,C0195,India,SKU-206,Notebook Pack,4,32.83
INV-0195-005,2024-12-08,C0195,United Kingdom,SKU-196,Wireless Mouse,3,56.63
INV-0195-006,2025-08-14,C0195,USA,SKU-529,Yoga Mat,1,138.72
INV-0196-001,2025-06-13,C0196,India,SKU-273,Phone Case,5,35.15
INV-0196-002,2025-12-01,C0196,India,SKU-348,Yoga Mat,2,43.88
INV-0196-003,2025-06-08,C0196,United Kingdom,SKU-948,Phone Case,3,33.84
INV-0196-004,2025-04-25,C0196,India,SKU-336,Desk Organizer,4,16.79
INV-0196-005,2025-06-16,C0196,United Kingdom,SKU-406,Phone Case,5,9.45
INV-0196-006,2025-05-03,C0196,United Kingdom,SKU-902,Phone Case,4,15.01
INV-0196-007,2025-11-24,C0196,India,SKU-285,Notebook Pack,2,24.51
INV-0196-008,2025-08-19,C0196,India,SKU-890,Notebook Pack,5,29.06
INV-0197-001,2025-03-06,C0197,India,SKU-746,Coffee Beans 500g,2,44.39
INV-0197-002,2025-02-22,C0197,Germany,SKU-578,Yoga Mat,1,183.75
INV-0197-003,2025-06-10,C0197,India,SKU-875,Coffee Beans 500g,1,203.39
INV-0197-004,2025-08-18,C0197,India,SKU-597,Yoga Mat,4,13.48
INV-0197-005,2025-05-04,C0197,India,SKU-243,Backpack,1,128.84
INV-0197-006,2025-06-30,C0197,India,SKU-887,Phone Case,2,50.95
INV-0197-007,2025-05-01,C0197,United Kingdom,SKU-294,Water Bottle,3,64.59
INV-0197-008,2025-05-11,C0197,Germany,SKU-355,Wireless Mouse,2,88.31
INV-0197-009,2025-08-05,C0197,United Kingdom,SKU-547,Desk Organizer,3,49.56
INV-0197-010,2025-10-06,C0197,Germany,SKU-570,Water Bottle,5,17.39
INV-0197-011,2025-06-24,C0197,United Kingdom,SKU-199,Wireless Mouse,2,29.26
INV-0198-001,2024-08-31,C0198,Germany,SKU-213,Phone Case,2,136.94
INV-0198-002,2024-10-17,C0198,India,SKU-677,Notebook Pack,1,118.87
INV-0198-003,2024-12-14,C0198,India,SKU-475,Coffee Beans 500g,2,106.5
INV-0198-004,2025-02-05,C0198,United Kingdom,SKU-490,Yoga Mat,3,85.5
INV-0198-005,2024-11-28,C0198,United Kingdom,SKU-323,Backpack,2,92.46
INV-0198-006,2024-09-21,C0198,India,SKU-223,Desk Organizer,4,40.44
INV-0198-007,2025-05-14,C0198,India,SKU-873,Wireless Mouse,5,52.11
INV-0199-001,2025-10-26,C0199,USA,SKU-462,Notebook Pack,2,86.59
INV-0199-002,2025-10-11,C0199,United Kingdom,SKU-147,Phone Case,1,215.05
INV-0199-003,2025-08-30,C0199,India,SKU-422,Water Bottle,4,77.92
INV-0199-004,2025-04-14,C0199,India,SKU-443,Notebook Pack,1,328.0
INV-0199-005,2025-11-03,C0199,India,SKU-740,LED Bulb,3,94.25
INV-0199-006,2025-01-29,C0199,India,SKU-453,Notebook Pack,3,112.77
INV-0199-007,2025-11-11,C0199,India,SKU-320,Notebook Pack,3,108.55
INV-0199-008,2025-07-20,C0199,United Kingdom,SKU-778,Water Bottle,5,27.15
INV-0199-009,2025-05-11,C0199,India,SKU-937,Yoga Mat,2,118.25
INV-0199-010,2025-02-02,C0199,India,SKU-276,Notebook Pack,5,44.57
INV-0199-011,2025-03-08,C0199,USA,SKU-573,Notebook Pack,1,119.4
INV-0199-012,2025-10-13,C0199,Germany,SKU-325,Wireless Mouse,1,146.88
INV-0199-013,2025-01-30,C0199,United Kingdom,SKU-252,Notebook Pack,4,85.51
INV-0200-001,2025-11-26,C0200,India,SKU-628,LED Bulb,5,11.75
INV-0200-002,2025-05-27,C0200,USA,SKU-135,Phone Case,4,19.74
INV-0201-001,2025-05-28,C0201,India,SKU-743,Water Bottle,3,45.4
INV-0201-002,2025-03-16,C0201,India,SKU-775,Yoga Mat,3,53.07
INV-0201-003,2025-06-23,C0201,India,SKU-359,Water Bottle,3,35.83
INV-0201-004,2025-03-22,C0201,USA,SKU-616,LED Bulb,1,63.51
INV-0201-005,2025-05-20,C0201,India,SKU-203,Water Bottle,5,37.08
INV-0201-006,2025-07-23,C0201,United Kingdom,SKU-885,Backpack,1,176.88
INV-0201-007,2025-06-12,C0201,Germany,SKU-860,Notebook Pack,3,45.67
INV-0201-008,2025-04-05,C0201,Germany,SKU-591,LED Bulb,2,84.18
INV-0201-009,2025-06-02,C0201,United Kingdom,SKU-969,Water Bottle,3,21.05
INV-0201-010,2025-04-21,C0201,India,SKU-418,Notebook Pack,1,88.64
INV-0201-011,2025-10-16,C0201,India,SKU-284,Wireless Mouse,3,21.94
INV-0201-012,2025-11-11,C0201,United Kingdom,SKU-928,Water Bottle,5,28.67
INV-0201-013,2025-04-21,C0201,India,SKU-891,Phone Case,1,184.83
INV-0202-001,2025-06-25,C0202,Germany,SKU-325,Coffee Beans 500g,2,137.38
INV-0202-002,2025-07-17,C0202,India,SKU-696,Water Bottle,2,60.75
INV-0202-003,2025-11-23,C0202,USA,SKU-214,Water Bottle,3,50.91
INV-0202-004,2025-07-11,C0202,India,SKU-671,Water Bottle,5,27.89
INV-0202-005,2025-03-07,C0202,Germany,SKU-592,Wireless Mouse,1,245.96
INV-0202-006,2025-06-14,C0202,United Kingdom,SKU-151,Water Bottle,4,113.37
INV-0202-007,2025-04-05,C0202,United Kingdom,SKU-895,Wireless Mouse,4,100.72
INV-0202-008,2025-10-22,C0202,India,SKU-269,Notebook Pack,2,206.21
INV-0202-009,2025-11-19,C0202,USA,SKU-111,Backpack,3,89.06
INV-0202-010,2025-10-04,C0202,USA,SKU-718,Wireless Mouse,1,124.25
INV-0202-011,2025-04-20,C0202,India,SKU-578,LED Bulb,2,120.66
INV-0202-012,2025-11-14,C0202,United Kingdom,SKU-752,Wireless Mouse,2,166.25
INV-0202-013,2025-05-20,C0202,USA,SKU-239,Wireless Mouse,2,67.98
INV-0202-014,2025-10-25,C0202,India,SKU-500,Backpack,5,83.48
INV-0202-015,2025-09-12,C0202,India,SKU-633,Yoga Mat,2,112.39
INV-0202-016,2025-10-15,C0202,USA,SKU-447,Desk Organizer,3,154.59
INV-0202-017,2025-11-17,C0202,India,SKU-311,Coffee Beans 500g,3,67.02
INV-0202-018,2025-04-04,C0202,USA,SKU-548,Backpack,3,56.0
INV-0203-001,2025-11-14,C0203,United Kingdom,SKU-270,LED Bulb,3,50.83
INV-0203-002,2025-11-16,C0203,USA,SKU-217,Backpack,1,79.12
INV-0203-003,2025-03-11,C0203,India,SKU-236,Phone Case,3,24.91
INV-0203-004,2025-06-17,C0203,USA,SKU-854,Backpack,4,22.83
INV-0203-005,2025-02-10,C0203,India,SKU-369,Coffee Beans 500g,5,36.53
INV-0203-006,2025-03-18,C0203,Germany,SKU-734,Cotton T-Shirt,4,27.62
INV-0203-007,2025-03-26,C0203,India,SKU-893,Notebook Pack,2,67.64
INV-0204-001,2024-11-12,C0204,United Kingdom,SKU-359,Desk Organizer,1,188.2
INV-0204-002,2025-01-20,C0204,India,SKU-742,Yoga Mat,4,29.6
INV-0204-003,2024-08-26,C0204,Germany,SKU-423,Notebook Pack,2,111.26
INV-0204-004,2025-03-31,C0204,USA,SKU-754,Wireless Mouse,1,184.38
INV-0205-001,2025-03-20,C0205,India,SKU-655,Desk Organizer,3,16.23
INV-0205-002,2025-08-08,C0205,United Kingdom,SKU-818,Water Bottle,2,36.35
INV-0205-003,2025-03-23,C0205,India,SKU-969,Water Bottle,3,32.12
INV-0205-004,2025-05-05,C0205,India,SKU-796,Cotton T-Shirt,1,44.97
INV-0206-001,2025-05-27,C0206,India,SKU-363,Desk Organizer,2,44.29
INV-0207-001,2025-03-11,C0207,United Kingdom,SKU-893,Wireless Mouse,5,14.53
INV-0207-002,2025-03-22,C0207,United Kingdom,SKU-861,Notebook Pack,3,41.71
INV-0207-003,2025-01-18,C0207,India,SKU-207,Wireless Mouse,4,32.1
INV-0207-004,2025-01-24,C0207,India,SKU-326,LED Bulb,3,29.22
INV-0207-005,2025-04-11,C0207,India,SKU-676,Coffee Beans 500g,3,24.49
INV-0207-006,2024-09-08,C0207,India,SKU-353,Wireless Mouse,1,143.51
INV-0207-007,2024-08-25,C0207,USA,SKU-196,Desk Organizer,4,22.54
INV-0208-001,2025-01-20,C0208,India,SKU-240,Phone Case,2,15.27
INV-0208-002,2025-10-11,C0208,India,SKU-677,Desk Organizer,3,4.69
INV-0208-003,2025-09-21,C0208,United Kingdom,SKU-373,Phone Case,4,9.72
INV-0209-001,2025-06-10,C0209,India,SKU-417,Yoga Mat,4,12.71
INV-0209-002,2025-06-02,C0209,India,SKU-924,Coffee Beans 500g,2,74.93
INV-0209-003,2025-08-05,C0209,India,SKU-226,Wireless Mouse,4,34.7
INV-0209-004,2025-08-11,C0209,India,SKU-474,Water Bottle,3,27.09
INV-0209-005,2025-11-13,C0209,United Kingdom,SKU-129,Desk Organizer,2,20.57
INV-0209-006,2025-01-31,C0209,USA,SKU-957,Cotton T-Shirt,3,44.6
INV-0209-007,2025-08-29,C0209,USA,SKU-742,Desk Organizer,5,20.93
INV-0209-008,2025-07-23,C0209,India,SKU-768,LED Bulb,5,27.91
INV-0209-009,2025-09-12,C0209,India,SKU-450,Wireless Mouse,3,34.66
INV-0209-010,2025-07-30,C0209,United Kingdom,SKU-457,Desk Organizer,2,49.76
INV-0209-011,2025-05-23,C0209,United Kingdom,SKU-364,Water Bottle,1,137.78
INV-0209-012,2025-06-21,C0209,United Kingdom,SKU-115,Phone Case,5,27.91
INV-0209-013,2025-03-20,C0209,Germany,SKU-371,LED Bulb,4,17.39
INV-0210-001,2025-10-02,C0210,India,SKU-488,Backpack,4,7.87
INV-0210-002,2025-05-28,C0210,India,SKU-166,Phone Case,4,10.93
INV-0211-001,2024-12-11,C0211,India,SKU-646,Phone Case,2,4.22
INV-0211-002,2025-06-13,C0211,India,SKU-994,Coffee Beans 500g,4,5.95
INV-0212-001,2025-05-05,C0212,India,SKU-539,LED Bulb,1,56.3
INV-0212-002,2025-06-12,C0212,United Kingdom,SKU-864,Water Bottle,5,5.94
INV-0213-001,2025-03-25,C0213,USA,SKU-638,Water Bottle,4,8.03
INV-0214-001,2025-02-20,C0214,India,SKU-978,Cotton T-Shirt,5,8.34
INV-0214-002,2025-07-23,C0214,USA,SKU-282,Water Bottle,2,14.78
INV-0214-003,2025-06-13,C0214,United Kingdom,SKU-821,Desk Organizer,3,19.19
INV-0214-004,2025-07-04,C0214,USA,SKU-840,Desk Organizer,5,11.48
INV-0215-001,2025-05-08,C0215,USA,SKU-826,Coffee Beans 500g,5,36.73
INV-0215-002,2025-01-29,C0215,USA,SKU-160,Desk Organizer,3,62.61
INV-0215-003,2025-03-27,C0215,India,SKU-445,Desk Organizer,1,211.98
INV-0215-004,2025-11-07,C0215,India,SKU-940,LED Bulb,3,75.09
INV-0215-005,2025-03-11,C0215,India,SKU-945,Notebook Pack,2,66.72
INV-0215-006,2025-09-11,C0215,USA,SKU-136,Water Bottle,5,36.68
INV-0216-001,2025-04-22,C0216,India,SKU-497,Wireless Mouse,2,31.82
INV-0216-002,2024-11-28,C0216,India,SKU-186,Phone Case,3,24.51
INV-0216-003,2025-08-06,C0216,USA,SKU-707,Water Bottle,1,58.3
INV-0216-004,2025-04-29,C0216,India,SKU-521,Phone Case,2,58.18
INV-0216-005,2025-05-20,C0216,India,SKU-388,Notebook Pack,1,115.91
INV-0217-001,2025-09-01,C0217,India,SKU-975,Notebook Pack,4,2.8
INV-0217-002,2025-02-11,C0217,United Kingdom,SKU-962,Water Bottle,4,7.5
INV-0217-003,2025-05-04,C0217,United Kingdom,SKU-185,Yoga Mat,3,4.07
INV-0217-004,2025-04-11,C0217,India,SKU-347,Notebook Pack,1,17.58
INV-0217-005,2025-06-24,C0217,India,SKU-769,Cotton T-Shirt,3,8.18
INV-0218-001,2025-05-05,C0218,India,SKU-251,Cotton T-Shirt,4,26.43
INV-0218-002,2024-12-08,C0218,USA,SKU-144,Wireless Mouse,5,26.8
INV-0218-003,2024-11-26,C0218,India,SKU-897,Notebook Pack,1,90.33
INV-0218-004,2025-01-01,C0218,United Kingdom,SKU-639,Wireless Mouse,4,35.6
INV-0218-005,2024-11-02,C0218,India,SKU-212,Cotton T-Shirt,1,63.41
INV-0218-006,2025-02-07,C0218,India,SKU-851,Backpack,1,68.58
INV-0218-007,2025-02-22,C0218,United Kingdom,SKU-806,Phone Case,3,44.72
INV-0219-001,2025-02-05,C0219,USA,SKU-444,Notebook Pack,3,22.52
INV-0219-002,2024-10-07,C0219,India,SKU-672,Backpack,1,161.02
INV-0219-003,2025-01-26,C0219,India,SKU-213,Desk Organizer,4,40.24
INV-0219-004,2024-12-06,C0219,United Kingdom,SKU-872,Coffee Beans 500g,1,99.01
INV-0219-005,2024-08-14,C0219,Germany,SKU-497,Phone Case,4,33.12
INV-0219-006,2024-07-23,C0219,India,SKU-373,Coffee Beans 500g,2,90.56
INV-0219-007,2024-08-25,C0219,India,SKU-914,Yoga Mat,3,38.79
INV-0219-008,2024-08-06,C0219,India,SKU-318,Cotton T-Shirt,5,23.34
INV-0219-009,2024-08-04,C0219,India,SKU-561,Desk Organizer,3,29.69
INV-0220-001,2025-11-23,C0220,United Kingdom,SKU-103,Coffee Beans 500g,1,75.07
INV-0221-001,2025-06-14,C0221,India,SKU-444,Notebook Pack,2,31.5
INV-0221-002,2024-11-14,C0221,USA,SKU-215,Coffee Beans 500g,4,15.13
INV-0222-001,2025-06-16,C0222,India,SKU-549,Yoga Mat,5,25.33
INV-0222-002,2025-07-15,C0222,United Kingdom,SKU-333,Coffee Beans 500g,2,56.59
INV-0222-003,2025-10-19,C0222,India,SKU-964,Desk Organizer,4,65.46
INV-0222-004,2025-04-19,C0222,Germany,SKU-862,Wireless Mouse,4,45.13
INV-0222-005,2025-05-12,C0222,India,SKU-355,LED Bulb,5,37.17
INV-0222-006,2025-01-29,C0222,USA,SKU-797,Wireless Mouse,4,17.59
INV-0223-001,2025-10-04,C0223,India,SKU-347,Desk Organizer,4,44.42
INV-0223-002,2025-04-08,C0223,India,SKU-923,Water Bottle,3,37.94
INV-0223-003,2025-05-06,C0223,United Kingdom,SKU-113,Coffee Beans 500g,2,101.89
INV-0223-004,2025-06-05,C0223,India,SKU-681,Coffee Beans 500g,1,84.98
INV-0223-005,2025-05-23,C0223,India,SKU-947,Notebook Pack,2,109.05
INV-0223-006,2025-07-16,C0223,India,SKU-605,Wireless Mouse,1,143.48
INV-0223-007,2025-06-14,C0223,USA,SKU-150,Yoga Mat,5,33.6
INV-0223-008,2025-04-11,C0223,India,SKU-315,Wireless Mouse,1,183.77
INV-0223-009,2025-06-18,C0223,United Kingdom,SKU-703,Yoga Mat,1,219.38
INV-0223-010,2025-03-26,C0223,United Kingdom,SKU-854,Cotton T-Shirt,4,21.98
INV-0224-001,2025-06-17,C0224,United Kingdom,SKU-516,Backpack,4,57.44
INV-0224-002,2025-04-29,C0224,India,SKU-347,Cotton T-Shirt,2,109.16
INV-0224-003,2025-10-04,C0224,United Kingdom,SKU-728,Coffee Beans 500g,5,44.34
INV-0224-004,2025-06-25,C0224,India,SKU-657,Notebook Pack,5,41.26
INV-0224-005,2025-07-13,C0224,India,SKU-321,Notebook Pack,3,54.45
INV-0224-006,2025-07-05,C0224,United Kingdom,SKU-377,Desk Organizer,1,133.4
INV-0224-007,2025-09-25,C0224,India,SKU-494,LED Bulb,2,158.26
INV-0224-008,2025-07-14,C0224,India,SKU-962,Desk Organizer,4,52.26
INV-0224-009,2025-09-01,C0224,India,SKU-193,Phone Case,3,39.1
INV-0224-010,2025-02-16,C0224,India,SKU-104,Desk Organizer,2,56.71
INV-0224-011,2025-07-08,C0224,India,SKU-945,Wireless Mouse,4,66.38
INV-0224-012,2025-04-15,C0224,India,SKU-161,LED Bulb,2,129.9
INV-0224-013,2025-10-18,C0224,India,SKU-480,Wireless Mouse,4,51.97
